Title,Lesson Folder,Type,Kami Link,Drive Image ID / Link,Slides Link
Electron Energy Levels Mapping Image,Worksheet-Electron Energy Levels Mapping,Worksheet,,1umvAg-dnbhjo0RMpFE-pWlltfh_o-5Vy,
Quiz-Electron Configuration,Quiz-Electron Configuration,Quiz,https://kami.app/5yH-QBv-rcV-mCd,https://drive.google.com/file/d/1_fQfjbC9KBpHvJGcsub0d-CxYREFi3x3/view,
Trends of the Periodic Table Graphing,Worksheet-Trends of Periodic Table Graphing,Worksheet,https://kami.app/KJQ-FB1-p1C-2m9,https://drive.google.com/file/d/1Rot_Ip_ClMsTKNuIAlgCyyUSHp2vrtm5/view,
Trends of the Periodic Table,Worksheet-Trends of Periodic Table Graphing,Worksheet,https://kami.app/9VT-eQZ-dB3-teh,https://drive.google.com/file/d/13uPNXa9jlPeXkVxbedlpziM5IlGNkY1x/view,
Trends of the Periodic Table Image,Worksheet-Trends of Periodic Table Graphing,Worksheet,,17quNsqYrk4LnCO0Y60qlsLIK0riIzFPB,
Trends of the Periodic Table Atomic Radius Graphing Image,Worksheet-Trends of Periodic Table Graphing,Worksheet,,1GmpkQGgtfnTGCy357CIMBwRXR6oaDmXX,
Homework Check on Trends of the Periodic Table,Homework Check on Trends of the Periodic Table,Homework,https://kami.app/r14-a8S-PcV-vxj,https://drive.google.com/file/d/1fDUV-Wva0cqqgoOtRFF-5wnvYHZ-wpQ3/view,
Homework Periodic Trends Check Image,Homework Check on Trends of the Periodic Table,Homework,,181EZrVZMsVNaoGzV_2-2tXVmfOrPHxfo,
Correctives_PT,Homework Check on Trends of the Periodic Table,Homework,https://kami.app/Jrg-8mC-gZU-TGS,https://drive.google.com/file/d/1KuYwityHQgyxFGfY-WSrqZZVFBvHu92G/view,
Element Jigsaw,Element Jigsaw,Activity,https://kami.app/jfY-H5E-F8V-h8g,https://drive.google.com/file/d/1yk7zt92Q1EtNisd7ZZANWzXJ9hgss6y5/view,
Element Jigsaw Image,Element Jigsaw,Activity,,1P2Ts8M2IfCYRRBGbyczI0q_UE_epO2bG,
Element Jigsaw 45 Questions,Element Jigsaw,Activity,https://kami.app/hMt-pCh-Dh5-nsf,https://drive.google.com/file/d/1Rx7Y9aeK4NiyeaQTlvm2sLjZRKUf-6RH/view,
Element Jigsaw 45 Questions Image,Element Jigsaw,Activity,,1dv0sRj1YdGRY-NQWwVLLWCQ6jDAAHEYQ,
TEST-Unit 4,TEST-Unit 4,Test,https://kami.app/K7Y-qZu-R9t-aJu,https://drive.google.com/file/d/1uUs8QmOCTBLE0GEcmixsh7AJjN-E-YiI/view,
Unit 4 Test Retake,TEST-Unit 4,Test,https://kami.app/uAr-7pm-4zd-WNP,https://drive.google.com/file/d/1n051NCCMjm3esST406rwJ0V_hj5jS08E/view,
Unit 4 Test Review,TEST-Unit 4,Test,https://kami.app/JgT-veH-gsJ-LyU,https://drive.google.com/file/d/1yMT18wcjY92-wF5NTLAUR3zxk64HPm3F/view,
Unit 4 Test Review Image,TEST-Unit 4,Test,,1YleBQIURzJMj1C2AtKIqhIKo-3luK1sk,
Test Correctives Unit 4,TEST-Unit 4,Test,https://kami.app/cZH-JtZ-cPa-F6z,https://drive.google.com/file/d/15Ve3XLCcP1TvEXCCXvPwzfFM7rgz5kcC/view,
Electron Configuration Blank Image,TEST-Unit 4,Test,,1Mr3DQJ-sqnCzulT-TDFl91qbwsS2vcxJ,
Electron Configuration Kr Image,TEST-Unit 4,Test,,1DGF9edLiIbCTbZHssHFm3cIcwBJlRV9-,
Unit 4 Test (doc),TEST-Unit 4,Test,,https://docs.google.com/document/d/19gbiWogzyOWnfoCczmQnhNTTyRa_ec6WNCEoIdR-TV4/edit,
Unit 4 Test Retake (doc),TEST-Unit 4,Test,,https://docs.google.com/document/d/1XzOwWeiUwdCEM_mBmWpgZKNJNG-guuJ9NNkP2ugXytM/edit,
Unit 4 Test Review (doc),TEST-Unit 4,Test,,https://docs.google.com/document/d/1voJ_SDKG92vK8FwWqURvKEXDUOIopauMS3AYFpEGges/edit,
Test Correctives Unit 4 (doc),TEST-Unit 4,Test,,https://docs.google.com/document/d/1cG_M9pRaGjbT3VPBdxmPyJRxy0Ozxq1zBNs6yx-63T8/edit,
Correctives_PT (doc),TEST-Unit 4,Test,,https://docs.google.com/document/d/1QD0A7V1VXlast1I2tOtfsZAzBcPqaGumGg7_GsDOvGw/edit,
TEST_MODIFIED_MC 2016-2017,TEST-Unit 4,Test,,https://docs.google.com/document/d/16GIWIooEIvte9cXgTtq3v4Pgg9JimMHscWbNrIi_J5Y/edit,
TEST_MODIFIED_MC 2016-2017 (1),TEST-Unit 4,Test,,https://docs.google.com/document/d/1dYf9rzHtDTusx8eWCu5XJ-_fPtTRcgmuVNAdAc0hS-s/edit,
TEST_Multiple Choice 2016-2017,TEST-Unit 4,Test,,https://docs.google.com/document/d/1_bDOtDafzOPsYjGPNDzN0ZL-KfvzUt-7vLJ74fyTDvU/edit,
Periodic Trends Presentation (reference image),Unit 4 Presentations,Presentation,,1kSsIgWlO0BY1Geh_GX_gOur1b6Cskrja,NO SLIDES FILE FOUND - needs manual check
Lewis Dot Structure Presentation (reference image),Unit 4 Presentations,Presentation,,1ATyJB2WS2U4bTq4Cc0QtTl2k6LxnBHaz,NO SLIDES FILE FOUND - needs manual check
Electron Configuration Presentation,Unit 4 Presentations,Presentation,,,FOLDER EMPTY OR NOT FOUND - needs manual check
